obsID,birdID,day,min,y,x,speed,prevDay,prevMin,prevY,prevX,prevSpeed
2,166,181,528,610222.459868073,210460.81610495,0.076811457,181,498,610223.131970185,210464.055560398,0.070710678
3,166,181,559,610248.236176506,210509.397999101,0.181383571,181,528,610222.459868073,210460.81610495,0.076811457
4,166,181,589,610347.822615119,210481.432479688,0.014142136,181,559,610248.236176506,210509.397999101,0.181383571
5,166,181,600,610343.996913778,210487.466634741,0.014142136,181,589,610347.822615119,210481.432479688,0.014142136
6,166,181,610,610277.454296821,210480.616777589,0.01,181,600,610343.996913778,210487.466634741,0.014142136
7,166,181,620,610249.752258689,210492.360547681,0.100498756,181,610,610277.454296821,210480.616777589,0.01
8,166,181,631,610247.09540434,210487.869191605,0.050990195,181,620,610249.752258689,210492.360547681,0.100498756
9,166,181,641,610339.32037428,210424.09796317,0.014142136,181,631,610247.09540434,210487.869191605,0.050990195
10,166,181,652,610350.580364721,210453.417593513,0.02236068,181,641,610339.32037428,210424.09796317,0.014142136
11,166,181,662,610281.029686458,210491.352822712,0.310161248,181,652,610350.580364721,210453.417593513,0.02236068
12,166,181,672,610348.253433598,210484.980112287,0.042426407,181,662,610281.029686458,210491.352822712,0.310161248
13,166,181,682,610354.39031719,210472.849741646,0.041231056,181,672,610348.253433598,210484.980112287,0.042426407
14,166,181,693,610353.828129372,210457.994970096,0.161554944,181,682,610354.39031719,210472.849741646,0.041231056
15,166,181,704,610352.935973073,210486.585795255,0.530377224,181,693,610353.828129372,210457.994970096,0.161554944
16,166,181,714,610304.819711046,210441.810342124,0.572013986,181,704,610352.935973073,210486.585795255,0.530377224
17,166,181,724,610256.439724628,210475.88722522,0.222261108,181,714,610304.819711046,210441.810342124,0.572013986
18,166,181,734,610246.252335841,210504.394140341,0.093808315,181,724,610256.439724628,210475.88722522,0.222261108
19,166,181,745,610240.780578732,210518.197160896,0.150332964,181,734,610246.252335841,210504.394140341,0.093808315
20,166,181,755,610253.090746027,210520.052807253,0.092736185,181,745,610240.780578732,210518.197160896,0.150332964
21,166,181,765,610356.132217965,210481.940178939,0.41761226,181,755,610253.090746027,210520.052807253,0.092736185
22,166,181,775,610347.966135106,210486.118968464,0.238327506,181,765,610356.132217965,210481.940178939,0.41761226
23,166,181,787,610336.628571349,210414.673198761,0.221133444,181,775,610347.966135106,210486.118968464,0.238327506
24,166,181,797,610337.041517712,210414.768011894,0.028284271,181,787,610336.628571349,210414.673198761,0.221133444
25,166,181,807,610341.326408601,210415.681135647,0.080622577,181,797,610337.041517712,210414.768011894,0.028284271
26,166,181,818,610349.036799469,210413.473324046,0.034641016,181,807,610341.326408601,210415.681135647,0.080622577
27,166,181,828,610350.357814558,210413.165809512,0,181,818,610349.036799469,210413.473324046,0.034641016
28,166,181,838,610344.93061792,210456.703845273,0.096953597,181,828,610350.357814558,210413.165809512,0
29,166,181,848,610345.793361157,210454.316540902,0.221133444,181,838,610344.93061792,210456.703845273,0.096953597
30,166,181,859,610347.286648537,210457.340518793,0.024494897,181,848,610345.793361157,210454.316540902,0.221133444
31,166,181,870,610346.428743359,210454.395485467,0.050990195,181,859,610347.286648537,210457.340518793,0.024494897
32,166,181,880,610354.317015872,210443.546335927,0.318747549,181,870,610346.428743359,210454.395485467,0.050990195
33,166,181,890,610360.449451091,210439.650220989,0.60547502,181,880,610354.317015872,210443.546335927,0.318747549
34,166,181,900,610364.831530239,210436.471687739,0.214009346,181,890,610360.449451091,210439.650220989,0.60547502
