obsID,birdID,day,min,y,x,speed,prevDay,prevMin,prevY,prevX,prevSpeed,c3,c8,c16
1187,166,186,997,610214.129951497,210497.828170862,0.050990195,186,997,610211.725370843,210497.803000865,0.156524758,1,1,1
1188,166,186,997,610225.571780186,210499.67405531,0.112249722,186,997,610214.129951497,210497.828170862,0.050990195,1,1,1
1415,166,187,1009,610317.729057196,210498.104576723,0.954672719,187,1009,610326.096539858,210494.016366726,0.160312195,2,2,2
1417,166,187,1010,610315.126566037,210496.375102523,0.128452326,187,1009,610316.193872522,210499.138420536,0.340881211,2,3,3
1418,166,187,1010,610317.443978456,210495.604425703,0.464435141,187,1010,610315.126566037,210496.375102523,0.128452326,1,3,4
1419,166,187,1010,610313.863632916,210499.763157476,0.123693169,187,1010,610317.443978456,210495.604425703,0.464435141,1,4,5
1421,166,187,1011,610317.686819712,210495.428949744,0.667682559,187,1010,610318.325171381,210498.635525942,0.287228132,2,2,2
1424,166,187,1012,610316.675205095,210500.328113112,0.154272486,187,1011,610313.822099488,210501.935082862,0.221133444,2,2,2
1428,166,187,1013,610313.95223077,210503.553851057,0.71484264,187,1013,610321.270528603,210499.218847661,0.188148877,2,2,2
1430,166,187,1013,610300.841545135,210505.605480037,0.133790882,187,1013,610304.029305279,210504.061017862,1.079861102,2,2,2
1431,166,187,1014,610305.298179492,210501.184204886,0.480520551,187,1013,610300.841545135,210505.605480037,0.133790882,1,3,6
1435,166,187,1015,610295.187071607,210506.567699025,0.161554944,187,1014,610294.908705027,210504.645184044,0.186010752,1,1,1
1443,166,187,1017,610287.817681648,210505.551060716,0.207123152,187,1017,610294.294139396,210502.52736214,0.192613603,1,1,1
1444,166,187,1017,610291.961096128,210504.82554884,0.158429795,187,1017,610287.817681648,210505.551060716,0.207123152,1,1,1
1445,166,187,1017,610294.811099972,210503.909220835,0.090553851,187,1017,610291.961096128,210504.82554884,0.158429795,1,4,5
1446,166,187,1018,610292.307536903,210502.072342451,0.267768557,187,1017,610294.811099972,210503.909220835,0.090553851,1,4,5
1447,166,187,1018,610294.776810642,210501.917462481,0.201494417,187,1018,610292.307536903,210502.072342451,0.267768557,1,4,5
1448,166,187,1018,610302.510773085,210496.953404315,0.124498996,187,1018,610294.776810642,210501.917462481,0.201494417,1,4,5
1449,166,187,1018,610293.388870254,210502.212501969,0.155241747,187,1018,610302.510773085,210496.953404315,0.124498996,1,4,5
1450,166,187,1019,610289.965231137,210497.829715391,0.604648658,187,1018,610293.388870254,210502.212501969,0.155241747,1,4,5
1409,166,187,1008,610334.535927806,210488.453151063,0.057445626,187,1007,610338.634010521,210485.742688933,0.143527001,1,5,7
1618,166,188,791,610298.792581315,210432.729712839,0.684397545,188,783,610323.152635299,210438.954505688,0.502593275,2,3,3
1628,166,188,794,610292.778558057,210433.403837768,0.22181073,188,794,610292.808245517,210433.084747887,0.284780617,2,2,2
1630,166,188,794,610293.840768062,210431.897385329,0.076811457,188,794,610292.29857672,210434.246117638,0.202731349,2,2,2
1631,166,188,795,610291.631732774,210437.208895293,0.319687347,188,794,610293.840768062,210431.897385329,0.076811457,2,2,2
1632,166,188,795,610291.747679793,210439.525092097,0.404474968,188,795,610291.631732774,210437.208895293,0.319687347,2,2,2
1635,166,188,796,610283.30476579,210444.789484395,0.074833148,188,796,610284.942234004,210442.977520945,0.01,2,2,2
1636,166,188,796,610279.81075599,210443.92695318,0.10198039,188,796,610283.30476579,210444.789484395,0.074833148,2,2,2
1619,166,188,791,610299.47223163,210427.993774296,0.153297097,188,791,610298.792581315,210432.729712839,0.684397545,2,2,2
1637,166,188,797,610278.854162049,210443.984547529,0.325422802,188,796,610279.81075599,210443.92695318,0.10198039,2,2,2
1638,166,188,797,610274.736853527,210445.041732311,0.436463057,188,797,610278.854162049,210443.984547529,0.325422802,2,2,2
1641,166,188,798,610272.025506328,210445.438454777,0.034641016,188,797,610274.499616084,210446.658141349,0.042426407,2,2,2
1642,166,188,798,610269.654651442,210447.358550773,0.182482876,188,798,610272.025506328,210445.438454777,0.034641016,2,3,3
1644,166,188,798,610270.056884343,210449.40581044,0.30016662,188,798,610271.090744046,210450.250432848,0.18493242,2,2,2
1649,166,188,800,610252.343671223,210451.949047999,0.174642492,188,800,610258.037528462,210449.585268376,0.531977443,1,4,5
1651,166,188,800,610225.700791083,210450.432369241,0.257875939,188,800,610224.205958053,210453.982542747,0.099498744,2,4,8
1652,166,188,801,610225.026799751,210448.946059085,0.165529454,188,800,610225.700791083,210450.432369241,0.257875939,2,2,9
1663,166,188,804,610214.276861276,210441.500603792,0.356230263,188,803,610213.868106153,210443.683478935,0.254950976,2,2,9
1664,166,188,804,610212.643940329,210440.828942419,0.211896201,188,804,610214.276861276,210441.500603792,0.356230263,2,2,9
1665,166,188,804,610209.646311911,210441.494617132,0.292232784,188,804,610212.643940329,210440.828942419,0.211896201,2,2,9
1668,166,188,805,610152.494411648,210470.72011103,11.9028526,188,805,610204.824607468,210439.405687487,0.253179778,3,6,10
1669,166,188,805,609945.47511951,210521.930415154,12.11129225,188,805,610152.494411648,210470.72011103,11.9028526,3,6,10
1670,166,188,805,609767.915050009,210564.101978332,10.67551404,188,805,609945.47511951,210521.930415154,12.11129225,3,6,10
1624,166,188,793,610296.269980678,210427.333702508,0.220454077,188,792,610297.684138149,210429.296156318,0.091104336,2,2,2
1626,166,188,793,610294.692182321,210434.284726612,0.150332964,188,793,610295.9610263,210428.525942774,0.200499377,2,3,3
1845,166,189,768,610333.600976491,210510.477175123,0.082462113,189,768,610333.196918579,210510.189693136,0.03,1,5,7
1846,166,189,768,610333.565812268,210510.324853234,0.144913767,189,768,610333.600976491,210510.477175123,0.082462113,1,5,7
1851,166,189,769,610333.128829235,210510.077596931,0.128840987,189,769,610333.978760552,210510.419658193,0.123693169,1,5,7
1852,166,189,770,610333.765061663,210510.229569635,0.037416574,189,769,610333.128829235,210510.077596931,0.128840987,1,5,7
1853,166,189,770,610334.414431027,210510.554041715,0.090553851,189,770,610333.765061663,210510.229569635,0.037416574,1,5,7
1854,166,189,770,610334.293705564,210510.701535924,0.071414284,189,770,610334.414431027,210510.554041715,0.090553851,1,5,7
1855,166,189,771,610332.565638874,210509.506425116,0.041231056,189,770,610334.293705564,210510.701535924,0.071414284,1,5,7
1856,166,189,771,610334.254294778,210510.184037653,0.042426407,189,771,610332.565638874,210509.506425116,0.041231056,1,5,7
1857,166,189,771,610335.829262628,210510.657117296,0.104403065,189,771,610334.254294778,210510.184037653,0.042426407,1,5,7
1860,166,189,772,610345.963141029,210521.588985444,0.149666295,189,772,610343.531589488,210521.15907573,0.384447656,1,5,7
1863,166,189,773,610336.377718881,210515.704134033,0.50019996,189,773,610335.292494276,210518.100682985,0.716379788,2,2,2
1864,166,189,773,610329.956789228,210509.14497435,0.733416662,189,773,610336.377718881,210515.704134033,0.50019996,2,2,2
529,166,184,541,610254.850168582,210487.566553298,0.214009346,184,539,610249.97347773,210496.070063339,0.288617394,2,2,2
538,166,184,543,610251.094846768,210477.629407273,0.064031242,184,543,610251.356243699,210477.13496627,0.479791621,2,2,2
539,166,184,544,610248.077061066,210473.686767094,0.274954542,184,543,610251.094846768,210477.629407273,0.064031242,2,2,2
543,166,184,545,610245.907259769,210467.044829383,0.203224014,184,544,610246.679396439,210469.313579649,0.214709106,2,2,2
544,166,184,545,610248.040316006,210467.650900267,0.014142136,184,545,610245.907259769,210467.044829383,0.203224014,1,3,6
545,166,184,545,610247.46935669,210469.284478621,0.072801099,184,545,610248.040316006,210467.650900267,0.014142136,2,2,2
546,166,184,545,610246.396279854,210469.854757189,0.240208243,184,545,610247.46935669,210469.284478621,0.072801099,2,2,2
530,166,184,541,610253.974633145,210484.063863705,0.06164414,184,541,610254.850168582,210487.566553298,0.214009346,2,2,2
551,166,184,547,610245.022283651,210468.476198851,0.115758369,184,546,610244.430050338,210467.320976805,0.324499615,2,2,2
552,166,184,547,610244.209852774,210467.529393754,0.04472136,184,547,610245.022283651,210468.476198851,0.115758369,2,2,2
531,166,184,541,610255.049759151,210485.585341027,0.140712473,184,541,610253.974633145,210484.063863705,0.06164414,2,2,2
558,166,184,549,610238.148965717,210466.085761363,0.780448589,184,548,610239.374652163,210467.153937529,0.028284271,2,2,2
560,166,184,549,610237.431316983,210467.548391682,0.083666003,184,549,610237.381012909,210467.050931043,0.100995049,2,2,2
532,166,184,542,610254.738012731,210483.663196802,0.30528675,184,541,610255.049759151,210485.585341027,0.140712473,2,2,2
571,166,184,552,610233.371551418,210470.683446692,0.171172428,184,552,610235.002528814,210472.145349498,0.180277564,1,1,1
