@relation gps_data_extended

@attribute obsID numeric
@attribute birdID numeric
@attribute day numeric
@attribute min numeric
@attribute speed numeric
@attribute area numeric
@attribute movement_time numeric
@attribute movement_ratio numeric
@attribute distance numeric

@data
4,166,181,589,0.014142,3051.863585,0.318494,0.146147,265.87099
5,166,181,600,0.014142,3026.43898,0.355236,0.136639,267.780895
6,166,181,610,0.01,4249.842122,1.521824,0.384074,324.910251
7,166,181,620,0.100499,3622.821672,0.44683,0.111319,252.879176
8,166,181,631,0.05099,3606.60188,1.017533,0.194139,324.958055
9,166,181,641,0.014142,3600.868246,1.144088,0.217862,325.58894
10,166,181,652,0.022361,3683.60273,1.716799,0.344365,309.094802
11,166,181,662,0.310161,3656.701757,1.787657,0.347726,318.74186
12,166,181,672,0.042426,2516.265103,1.015143,0.271889,235.220714
13,166,181,682,0.041231,2532.865381,0.761449,0.175149,269.540088
14,166,181,693,0.161555,3240.069644,0.468534,0.116433,249.492981
15,166,181,704,0.530377,4055.322718,1.674713,0.48922,212.240395
16,166,181,714,0.572014,4750.562557,1.941677,0.57297,213.494026
17,166,181,724,0.222261,5034.530435,1.908358,0.560543,211.077863
18,166,181,734,0.093808,4510.036769,0.092442,0.019289,292.337207
19,166,181,745,0.150333,4391.278715,1.013861,0.262298,235.783557
20,166,181,755,0.092736,5840.232237,1.60132,0.40524,248.946809
21,166,181,765,0.417612,5014.350594,2.025009,0.582276,219.097954
22,166,181,775,0.238328,4771.29489,2.316019,0.688264,208.631046
23,166,181,787,0.221133,4326.023797,2.276261,0.702267,204.202062
24,166,181,797,0.028284,791.866843,1.095498,0.721217,95.694312
25,166,181,807,0.080623,498.993235,0.469386,0.226781,130.396127
26,166,181,818,0.034641,307.08458,0.667031,0.671492,60.594799
27,166,181,828,0,338.551119,0.706257,0.689099,63.543696
28,166,181,838,0.096954,243.068149,0.619828,0.627497,62.230036
29,166,181,848,0.221133,215.038983,0.492468,0.451515,67.623534
30,166,181,859,0.024495,316.582716,0.457128,0.385433,73.532629
31,166,181,870,0.05099,71.66698,0.457731,0.809194,35.071109
32,166,181,880,0.318748,68.580056,0.365675,0.647293,35.590591
33,166,181,890,0.605475,99.914312,0.277933,0.407372,42.300104
34,166,181,900,0.214009,289.258572,0.301427,0.291033,63.178582
35,166,181,911,0.017321,240.148426,0.462953,0.49513,57.970747
36,166,181,921,0.336601,248.737878,0.359837,0.456411,56.76511
37,166,181,931,0.154272,272.126266,0.342878,0.437654,57.191548
38,166,181,942,0.046904,293.264565,0.332286,0.401879,59.531843
39,166,181,962,0.083066,172.851676,0.282321,0.393491,51.658423
40,166,181,973,0.178326,67.306651,0.067164,0.121228,39.890385
41,166,181,983,0.02,67.306651,0.172656,0.329353,37.74446
42,166,181,993,0.028284,46.175807,0.214454,0.338353,39.296691
43,166,181,1003,0.115326,50.902052,0.668638,0.619558,65.832294
44,166,181,1014,0.03,345.72804,0.684653,0.575281,74.977535
45,166,181,1024,0.136015,555.859762,0.195028,0.112069,109.635424
46,166,181,1034,0.080623,1554.237501,0.746902,0.345972,136.007575
47,166,181,1046,0.106301,1419.064533,0.709399,0.322222,136.498183
48,166,181,1056,0.014142,1197.822935,0.671261,0.31533,131.982728
49,166,181,1066,0.488467,920.382437,0.981577,0.611656,101.101585
50,166,181,1076,?,762.460523,0.782434,0.482423,98.934997
51,166,181,1086,0.127279,805.223224,0.669703,0.395451,103.304541
52,166,181,1097,0.182209,1250.771509,1.949848,0.902084,131.851087
53,166,181,1107,0.01,2673.818458,1.424789,0.483908,182.54885
54,166,181,1117,0.014142,3084.550021,1.783141,0.529873,208.643851
55,166,181,1127,0.024495,3071.567112,1.862001,0.514863,220.606566
56,166,181,1138,0.117473,3577.300788,0.751358,0.168208,276.944658
57,166,181,1148,0.053852,3049.646447,0.728437,0.172388,261.98519
58,166,181,1158,0.07874,4191.845937,1.866569,0.505794,228.803359
59,166,181,1169,0.076811,3496.945418,1.495446,0.524905,173.787873
60,166,181,1179,0.1772,2452.264386,1.786133,0.745355,148.573782
61,166,181,1189,0.076811,1705.239555,0.970851,0.313697,191.88194
62,166,181,1199,0.014142,1569.012694,1.434336,0.430599,203.192445
63,166,181,1210,0.094868,2784.804318,2.163473,0.667048,201.088127
64,166,181,1220,0.444522,2212.916763,2.759097,0.937178,182.531045
65,166,181,1230,0.582237,2685.997133,0.666589,0.130587,316.483264
66,166,181,1241,0.064807,3134.880475,0.875068,0.169377,330.648316
67,166,181,1251,0.125698,1825.806937,0.664795,0.142767,302.673614
68,166,181,1261,0,2172.844364,1.644307,0.450955,237.007992
69,166,181,1274,0.075498,2077.576521,1.300467,0.326006,259.290712
70,166,181,1285,0.022361,3138.767188,1.8617,0.444367,276.510758
71,166,181,1295,0.036056,1130.47712,0.581943,0.228167,168.333694
72,166,181,1306,0.078102,1795.39013,1.152087,0.377648,192.193538
73,166,181,1317,0.36565,2897.760654,2.291838,0.682626,208.157865
74,166,181,1327,0.410488,2759.313968,0.599238,0.121077,306.852236
75,166,181,1337,0.300167,2432.491327,0.821127,0.183602,272.810663
76,166,181,1347,0.11,2357.302624,1.432589,0.248658,345.676575
77,166,181,1357,0.450444,2399.540077,1.070226,0.204209,319.691371
78,166,181,1367,0.114455,3354.834838,0.985361,0.166634,360.71307
79,166,181,1377,0.259808,3407.588091,1.074314,0.187808,354.657203
80,166,181,1388,0.057446,2212.093913,1.011137,0.257127,243.811631
81,166,181,1398,1.236649,2205.483983,1.134661,0.301097,233.642478
82,166,181,1409,0,1298.139482,0.861139,0.339873,157.089947
83,166,181,1419,0,1603.796031,0.953833,0.361485,163.596288
84,166,181,1429,0.155885,788.821172,0.162948,0.080597,125.348482
85,166,181,1439,0.061644,1193.094373,0.4832,0.213547,140.28935
86,166,182,10,0.130384,1752.368663,0.528158,0.209777,156.098493
87,166,182,20,0.096954,2170.421201,0.693603,0.257008,167.323471
88,166,182,31,0.223607,2170.421201,0.548206,0.210186,164.316567
89,166,182,41,0.061644,2766.628161,0.953156,0.309727,190.799189
90,166,182,51,0.046904,1539.175706,1.389186,0.562196,153.201873
91,166,182,62,0.11225,2621.413595,1.59376,0.43578,223.09258
92,166,182,72,0.128841,2765.546344,1.501366,0.432675,225.547473
93,166,182,82,0.147648,3579.783,1.343231,0.336762,263.251649
94,166,182,92,0.133041,3689.386278,0.553293,0.122738,293.015177
