obsID,birdID,day,min,speed,trajectory,distance
4,166,181,589,0.014142136,2.179270e+00,2.658710e+02
5,166,181,600,0.014142136,2.599815e+00,2.677809e+02
6,166,181,610,0.01,3.962320e+00,3.249103e+02
7,166,181,620,0.100498756,4.013955e+00,2.528792e+02
8,166,181,631,0.050990195,5.241259e+00,3.249581e+02
9,166,181,641,0.014142136,5.251435e+00,3.255889e+02
10,166,181,652,0.02236068,4.985400e+00,3.090948e+02
11,166,181,662,0.310161248,5.140998e+00,3.187419e+02
12,166,181,672,0.042426407,3.733662e+00,2.352207e+02
13,166,181,682,0.041231056,4.347421e+00,2.695401e+02
14,166,181,693,0.161554944,4.024080e+00,2.494930e+02
15,166,181,704,0.530377224,3.423232e+00,2.122404e+02
16,166,181,714,0.572013986,3.388794e+00,2.134940e+02
17,166,181,724,0.222261108,3.404482e+00,2.110779e+02
18,166,181,734,0.093808315,4.792413e+00,2.923372e+02
19,166,181,745,0.150332964,3.865304e+00,2.357836e+02
20,166,181,755,0.092736185,3.951537e+00,2.489468e+02
21,166,181,765,0.41761226,3.477745e+00,2.190980e+02
22,166,181,775,0.238327506,3.365017e+00,2.086310e+02
23,166,181,787,0.221133444,3.241303e+00,2.042021e+02
24,166,181,797,0.028284271,1.518957e+00,9.569431e+01
25,166,181,807,0.080622577,2.069780e+00,1.303961e+02
26,166,181,818,0.034641016,9.933574e-01,6.059480e+01
27,166,181,828,0,1.024898e+00,6.354370e+01
28,166,181,838,0.096953597,9.877783e-01,6.223004e+01
29,166,181,848,0.221133444,1.090702e+00,6.762353e+01
30,166,181,859,0.024494897,1.186010e+00,7.353263e+01
31,166,181,870,0.050990195,5.656630e-01,3.507111e+01
32,166,181,880,0.318747549,5.649300e-01,3.559059e+01
33,166,181,890,0.60547502,6.822597e-01,4.230010e+01
34,166,181,900,0.214009346,1.035714e+00,6.317858e+01
35,166,181,911,0.017320508,9.350120e-01,5.797075e+01
36,166,181,921,0.336600654,7.884043e-01,5.676511e+01
