@relation gps_data_extended_classes

@attribute obsID numeric
@attribute birdID numeric
@attribute day numeric
@attribute min numeric
@attribute speed numeric
@attribute area numeric
@attribute movement_time numeric
@attribute movement_ratio numeric
@attribute distance numeric
@attribute c3 numeric
@attribute c8 numeric
@attribute c16 numeric

@data
1187,166,186,997,0.05099,8.678448,4.782812,0.253981,37.662817,1,1,1
1188,166,186,997,0.11225,6.528953,0.922675,0.027238,33.874738,1,1,1
1415,166,187,1009,0.954673,21.854623,4.335382,0.408618,21.219737,2,2,2
1417,166,187,1010,0.128452,24.510703,9.040509,0.339135,26.657568,2,3,3
1418,166,187,1010,0.464435,11.25272,1.33798,0.129811,20.614268,1,3,4
1419,166,187,1010,0.123693,11.25272,0.518077,0.044469,23.300567,1,4,5
1421,166,187,1011,0.667683,13.614357,2.392918,0.197616,24.217882,2,2,2
1424,166,187,1012,0.154272,24.855181,2.607983,0.220066,23.70182,2,2,2
1428,166,187,1013,0.714843,62.942711,6.327441,0.31753,39.854139,2,2,2
1430,166,187,1013,0.133791,71.853302,29.00834,0.702727,41.279701,2,2,2
1431,166,187,1014,0.480521,44.424743,19.07477,0.54638,34.911208,1,3,6
1435,166,187,1015,0.161555,11.803957,2.98801,0.364395,16.399848,1,1,1
1443,166,187,1017,0.207123,10.59775,1.243127,0.128345,19.371676,1,1,1
1444,166,187,1017,0.15843,11.804516,0.837731,0.080145,20.905327,1,1,1
1445,166,187,1017,0.090554,25.121606,9.928851,0.340999,29.116951,1,4,5
1446,166,187,1018,0.267769,25.121606,6.49493,0.199852,32.498766,1,4,5
1447,166,187,1018,0.201494,51.142099,3.637484,0.214894,33.853798,1,4,5
1448,166,187,1018,0.124499,70.516671,6.225022,0.349879,35.583903,1,4,5
1449,166,187,1018,0.155242,87.687359,11.83911,0.309582,38.24225,1,4,5
1450,166,187,1019,0.604649,84.93378,6.085846,0.323836,37.58602,1,4,5
1409,166,187,1008,0.057446,12.950762,12.36519,0.43179,28.637045,1,5,7
1618,166,188,791,0.684398,807.9355,1.463907,0.396794,110.680224,2,3,3
1628,166,188,794,0.221811,11.144388,4.851197,0.539537,17.982813,2,2,2
1630,166,188,794,0.076811,14.360547,6.697889,0.68742,19.487039,2,2,2
1631,166,188,795,0.319687,33.917937,6.185939,0.553476,22.353064,2,2,2
1632,166,188,795,0.404475,38.812745,6.929127,0.581648,23.825858,2,2,2
1635,166,188,796,0.074833,36.039493,8.941498,0.822112,21.752503,2,2,2
1636,166,188,796,0.10198,23.825965,12.31257,0.775893,15.868916,2,2,2
1619,166,188,791,0.153297,228.372014,1.052262,0.366606,54.535301,2,2,2
1637,166,188,797,0.325423,15.595541,11.07227,0.841531,13.157296,2,2,2
1638,166,188,797,0.436463,14.178257,5.648957,0.83853,13.473476,2,2,2
1641,166,188,798,0.034641,15.126631,6.399007,0.521088,12.280082,2,2,2
1642,166,188,798,0.182483,18.013725,3.863368,0.540771,14.288381,2,3,3
1644,166,188,798,0.300167,24.170853,10.67596,0.63586,16.789805,2,2,2
1649,166,188,800,0.174642,153.875278,20.47202,0.847512,48.310866,1,4,5
1651,166,188,800,0.257876,236.37477,35.08128,0.740144,47.397919,2,4,8
1652,166,188,801,0.165529,176.877,30.54832,0.705632,43.292165,2,2,9
1663,166,188,804,0.35623,12.069,9.1742,0.742745,12.351747,2,2,9
1664,166,188,804,0.211896,13.612976,5.415081,0.807979,13.404011,2,2,9
1665,166,188,804,0.292233,266.112105,33.53248,0.91356,73.410571,2,2,9
1668,166,188,805,11.902853,8207.779858,209.4708,0.827192,506.462206,3,6,10
1669,166,188,805,12.111292,8240.649838,208.6731,0.828073,503.99702,3,6,10
1670,166,188,805,10.675514,8272.886281,416.113,0.82775,502.703734,3,6,10
1624,166,188,793,0.220454,16.9219,2.642149,0.375847,14.059721,2,2,2
1626,166,188,793,0.150333,15.357176,3.657403,0.559622,13.070983,2,3,3
1845,166,189,768,0.082462,0.19182,0.551935,0.485687,2.272801,1,5,7
1846,166,189,768,0.144914,0.293328,0.479014,0.281379,3.404757,1,5,7
1851,166,189,769,0.128841,0.357367,1.619361,0.360026,4.497896,1,5,7
1852,166,189,770,0.037417,0.527718,0.999534,0.400289,4.994061,1,5,7
1853,166,189,770,0.090554,0.614704,0.181271,0.056581,6.407447,1,5,7
