obsID,birdID,day,min,speed,area,movement_time,movement_ratio,distance,c3,c8,c16
1187,166,186,997,0.050990195,8.678448,4.782812e+00,0.253981,37.662817,1,1,1
1188,166,186,997,0.112249722,6.528953,9.226748e-01,0.027238,33.874738,1,1,1
1415,166,187,1009,0.954672719,21.854623,4.335382e+00,0.408618,21.219737,2,2,2
1417,166,187,1010,0.128452326,24.510703,9.040509e+00,0.339135,26.657568,2,3,3
1418,166,187,1010,0.464435141,11.252720,1.337980e+00,0.129811,20.614268,1,3,4
1419,166,187,1010,0.123693169,11.252720,5.180765e-01,0.044469,23.300567,1,4,5
1421,166,187,1011,0.667682559,13.614357,2.392918e+00,0.197616,24.217882,2,2,2
1424,166,187,1012,0.154272486,24.855181,2.607983e+00,0.220066,23.701820,2,2,2
1428,166,187,1013,0.71484264,62.942711,6.327441e+00,0.317530,39.854139,2,2,2
1430,166,187,1013,0.133790882,71.853302,2.900834e+01,0.702727,41.279701,2,2,2
1431,166,187,1014,0.480520551,44.424743,1.907477e+01,0.546380,34.911208,1,3,6
1435,166,187,1015,0.161554944,11.803957,2.988010e+00,0.364395,16.399848,1,1,1
1443,166,187,1017,0.207123152,10.597750,1.243127e+00,0.128345,19.371676,1,1,1
1444,166,187,1017,0.158429795,11.804516,8.377308e-01,0.080145,20.905327,1,1,1
1445,166,187,1017,0.090553851,25.121606,9.928851e+00,0.340999,29.116951,1,4,5
1446,166,187,1018,0.267768557,25.121606,6.494930e+00,0.199852,32.498766,1,4,5
1447,166,187,1018,0.201494417,51.142099,3.637484e+00,0.214894,33.853798,1,4,5
1448,166,187,1018,0.124498996,70.516671,6.225022e+00,0.349879,35.583903,1,4,5
1449,166,187,1018,0.155241747,87.687359,1.183911e+01,0.309582,38.242250,1,4,5
1450,166,187,1019,0.604648658,84.933780,6.085846e+00,0.323836,37.586020,1,4,5
1409,166,187,1008,0.057445626,12.950762,1.236519e+01,0.431790,28.637045,1,5,7
1618,166,188,791,0.684397545,807.935500,1.463907e+00,0.396794,110.680224,2,3,3
1628,166,188,794,0.22181073,11.144388,4.851197e+00,0.539537,17.982813,2,2,2
1630,166,188,794,0.076811457,14.360547,6.697889e+00,0.687420,19.487039,2,2,2
1631,166,188,795,0.319687347,33.917937,6.185939e+00,0.553476,22.353064,2,2,2
1632,166,188,795,0.404474968,38.812745,6.929127e+00,0.581648,23.825858,2,2,2
1635,166,188,796,0.074833148,36.039493,8.941498e+00,0.822112,21.752503,2,2,2
1636,166,188,796,0.10198039,23.825965,1.231257e+01,0.775893,15.868916,2,2,2
1619,166,188,791,0.153297097,228.372014,1.052262e+00,0.366606,54.535301,2,2,2
1637,166,188,797,0.325422802,15.595541,1.107227e+01,0.841531,13.157296,2,2,2
1638,166,188,797,0.436463057,14.178257,5.648957e+00,0.838530,13.473476,2,2,2
1641,166,188,798,0.034641016,15.126631,6.399007e+00,0.521088,12.280082,2,2,2
1642,166,188,798,0.182482876,18.013725,3.863368e+00,0.540771,14.288381,2,3,3
1644,166,188,798,0.30016662,24.170853,1.067596e+01,0.635860,16.789805,2,2,2
1649,166,188,800,0.174642492,153.875278,2.047202e+01,0.847512,48.310866,1,4,5
1651,166,188,800,0.257875939,236.374770,3.508128e+01,0.740144,47.397919,2,4,8
1652,166,188,801,0.165529454,176.877000,3.054832e+01,0.705632,43.292165,2,2,9
1663,166,188,804,0.356230263,12.069000,9.174200e+00,0.742745,12.351747,2,2,9
1664,166,188,804,0.211896201,13.612976,5.415081e+00,0.807979,13.404011,2,2,9
1665,166,188,804,0.292232784,266.112105,3.353248e+01,0.913560,73.410571,2,2,9
1668,166,188,805,11.9028526,8207.779858,2.094708e+02,0.827192,506.462206,3,6,10
1669,166,188,805,12.11129225,8240.649838,2.086731e+02,0.828073,503.997020,3,6,10
1670,166,188,805,10.67551404,8272.886281,4.161130e+02,0.827750,502.703734,3,6,10
1624,166,188,793,0.220454077,16.921900,2.642149e+00,0.375847,14.059721,2,2,2
1626,166,188,793,0.150332964,15.357176,3.657403e+00,0.559622,13.070983,2,3,3
1845,166,189,768,0.082462113,0.191820,5.519351e-01,0.485687,2.272801,1,5,7
1846,166,189,768,0.144913767,0.293328,4.790136e-01,0.281379,3.404757,1,5,7
1851,166,189,769,0.128840987,0.357367,1.619361e+00,0.360026,4.497896,1,5,7
1852,166,189,770,0.037416574,0.527718,9.995337e-01,0.400289,4.994061,1,5,7
1853,166,189,770,0.090553851,0.614704,1.812706e-01,0.056581,6.407447,1,5,7
1854,166,189,770,0.071414284,1.112934,1.380958e+00,0.387054,7.135749,1,5,7
1855,166,189,771,0.041231056,6.034099,1.316471e+01,0.744692,17.678054,1,5,7
1856,166,189,771,0.042426407,36.693628,6.992663e+00,0.654237,21.376539,1,5,7
1857,166,189,771,0.104403065,42.071784,7.979854e+00,0.674681,23.655201,1,5,7
1860,166,189,772,0.149666295,61.632970,2.538365e+00,0.158798,31.969772,1,5,7
1863,166,189,773,0.50019996,336.594636,2.286905e+01,0.837799,54.593197,2,2,2
1864,166,189,773,0.733416662,307.242600,3.062775e+01,0.916278,66.852503,2,2,2
529,166,184,541,0.214009346,792.477227,4.107932e+00,0.475399,207.384241,2,2,2
538,166,184,543,0.064031242,9.845520,6.949029e+00,0.922824,15.060348,2,2,2
539,166,184,544,0.274954542,8.678618,1.182115e+01,0.830856,14.227676,2,2,2
543,166,184,545,0.203224014,7.033799,3.320348e+00,0.265862,12.488976,2,2,2
544,166,184,545,0.014142136,3.876711,7.364252e-01,0.162200,9.080478,1,3,6
545,166,184,545,0.072801099,3.876711,6.036826e-01,0.120578,10.013120,2,2,2
546,166,184,545,0.240208243,3.876711,1.121554e+00,0.127996,8.762409,2,2,2
530,166,184,541,0.06164414,257.029907,3.538631e+00,0.829755,59.705401,2,2,2
551,166,184,547,0.115758369,2.865529,2.432685e+00,0.623439,7.804090,2,2,2
552,166,184,547,0.04472136,3.606328,2.480769e+00,0.614605,8.072722,2,2,2
531,166,184,541,0.140712473,14.276308,3.654814e+00,0.560130,19.574801,2,2,2
558,166,184,549,0.780448589,5.765431,6.060970e+00,0.780734,7.763165,2,2,2
560,166,184,549,0.083666003,6.297558,2.673817e+00,0.688462,7.767512,2,2,2
532,166,184,542,0.30528675,6.495345,6.740656e+00,0.468587,14.385062,2,2,2
571,166,184,552,0.171172428,2.466071,8.186574e-01,0.202204,8.097361,1,1,1
572,166,184,552,0.21977261,94.200359,9.009611e+01,0.912708,98.713000,1,1,1
573,166,184,553,0.081240384,1867.676310,3.243009e+02,0.979418,331.115992,1,1,1
537,166,184,543,0.479791621,11.831482,7.067549e+00,0.919543,15.371865,2,2,2
911,166,185,994,0.262488095,61.523488,4.935846e+00,0.339690,29.060923,2,2,2
912,166,185,994,0.546717477,54.420166,6.436894e+00,0.500355,25.729300,2,2,2
914,166,185,995,0.345832329,33.543531,6.279032e+00,0.722895,17.371911,1,3,6
919,166,185,996,0.178325545,30.460439,1.802276e+00,0.248358,21.770320,2,2,2
902,166,185,991,0.082462113,2729.183282,4.325836e+00,0.715460,157.201956,2,2,2
921,166,185,997,0.275317998,34.364221,3.288705e+00,0.211213,31.141117,2,2,2
922,166,185,998,0.064031242,36.802470,9.373071e+00,0.663009,42.411507,2,2,2
923,166,185,998,0.303809151,22.988405,4.675193e+00,0.323611,43.340838,2,2,2
924,166,185,998,0.014142136,34.361785,6.948321e+00,0.318194,43.673511,2,2,2
925,166,185,999,0.39,53.291001,1.440138e+01,0.324911,44.324076,2,2,2
931,166,185,1000,0.309030743,19.811692,5.250236e+00,0.667882,15.722045,2,2,2
935,166,185,1002,0.333916157,55.754804,7.126637e+00,0.546414,26.085109,2,2,2
936,166,185,1002,0.331209903,67.033287,6.725320e+00,0.464975,28.927684,2,2,2
938,166,185,1002,0.330756708,41.185194,1.025285e+01,0.353251,29.024279,2,2,2
945,166,185,1004,0.206639783,22.173148,5.274876e+00,0.476486,22.140725,2,2,2
946,166,185,1004,0.159373775,24.282172,1.066992e+01,0.467628,22.817100,2,2,2
947,166,185,1005,0.080622577,37.608422,6.772557e+00,0.513195,26.393722,2,2,2
948,166,185,1005,0.568066897,32.980836,3.722788e+00,0.297457,25.030752,2,2,2
907,166,185,993,0.170293864,23.948106,6.060057e+00,0.546432,22.180472,2,2,2
1180,166,186,995,1.23971771,11.279979,9.837318e+00,0.359358,54.749380,1,5,7
1189,166,186,998,0.422374242,3.344834,1.826127e+00,0.057592,31.707958,1,1,1
1195,166,186,999,0.243721152,8.281458,6.477136e+00,0.510719,25.364773,1,1,1
1196,166,186,999,0.30757113,8.108072,1.623652e+00,0.045679,35.545057,1,1,1
1198,166,186,1000,0.127279221,4.910502,6.553475e-01,0.048905,26.800720,1,1,1
1181,166,186,995,0.046904158,8.566751,5.167152e-01,0.021928,47.128421,1,1,1
1199,166,186,1000,0.100498756,4.910502,2.066066e+00,0.140360,29.439565,1,1,1
1182,166,186,996,0.214009346,16.516906,3.463472e+00,0.204556,50.795066,1,1,1
1211,166,186,1003,0.072801099,2.094549,2.040732e+00,0.166784,12.235806,1,5,7
1183,166,186,996,0.394208067,17.425848,6.572591e-01,0.031505,41.724743,1,1,1
1224,166,186,1007,0.087749644,5.876419,1.480351e+00,0.233081,12.702473,1,5,7
1225,166,186,1007,0.104880885,10.680049,2.824016e+00,0.367439,15.371364,1,5,7
1226,166,186,1007,0.538144962,22.110158,8.978654e+00,0.472474,19.003487,2,2,2
1227,166,186,1008,0.14,34.226625,6.425282e+00,0.562495,22.845631,1,1,1
1184,166,186,996,0.478434949,16.818186,2.889205e+00,0.155217,37.228013,1,1,1
1185,166,186,997,0.053851648,16.818186,7.414787e+00,0.208396,35.580286,1,1,1
1186,166,186,997,0.156524758,9.352436,4.032252e+00,0.223165,36.136902,1,1,1
1865,166,189,774,0.486723741,274.804363,2.846194e+01,0.879831,64.698642,2,2,2
1869,166,189,775,0.260192237,67.698088,1.102733e+01,0.712472,30.955115,2,2,2
1870,166,189,775,0.024494897,29.054072,6.321107e+00,0.730380,17.309100,2,2,2
1871,166,189,775,0.392300905,34.656388,1.725546e+01,0.833558,20.700986,2,2,2
1872,166,189,776,0.184119526,53.557061,2.024730e+01,0.859539,23.555998,2,2,2
1877,166,189,777,0.147309199,15.675339,4.359359e+00,0.469037,18.588565,1,3,4
1878,166,189,777,0.372021505,12.068716,2.716837e+00,0.339421,16.008638,1,3,6
1881,166,189,778,0.190525589,2.621572,8.210976e-01,0.156988,10.460663,2,2,2
1882,166,189,778,0.377624152,2.896020,9.925183e-01,0.196414,10.106383,2,2,2
1840,166,189,767,0.547083175,121.426560,9.088519e+00,0.172634,52.646264,2,4,11
1842,166,189,767,0.05,46.737558,1.003152e+01,0.813160,24.672936,1,5,7
