@relation gps_data-weka.filters.unsupervised.attribute.Remove-V-R3-last

@attribute day numeric
@attribute min numeric
@attribute y numeric
@attribute x numeric
@attribute speed numeric
@attribute prevDay numeric
@attribute prevMin numeric
@attribute prevY numeric
@attribute prevX numeric
@attribute prevSpeed numeric

@data

181,528,610222.459868,210460.816105,0.076811,181,498,610223.13197,210464.05556,0.070711
181,559,610248.236177,210509.397999,0.181384,181,528,610222.459868,210460.816105,0.076811
181,589,610347.822615,210481.43248,0.014142,181,559,610248.236177,210509.397999,0.181384
181,600,610343.996914,210487.466635,0.014142,181,589,610347.822615,210481.43248,0.014142
181,610,610277.454297,210480.616778,0.01,181,600,610343.996914,210487.466635,0.014142
181,620,610249.752259,210492.360548,0.100499,181,610,610277.454297,210480.616778,0.01
181,631,610247.095404,210487.869192,0.05099,181,620,610249.752259,210492.360548,0.100499
181,641,610339.320374,210424.097963,0.014142,181,631,610247.095404,210487.869192,0.05099
181,652,610350.580365,210453.417594,0.022361,181,641,610339.320374,210424.097963,0.014142
181,662,610281.029686,210491.352823,0.310161,181,652,610350.580365,210453.417594,0.022361
181,672,610348.253434,210484.980112,0.042426,181,662,610281.029686,210491.352823,0.310161
181,682,610354.390317,210472.849742,0.041231,181,672,610348.253434,210484.980112,0.042426
181,693,610353.828129,210457.99497,0.161555,181,682,610354.390317,210472.849742,0.041231
181,704,610352.935973,210486.585795,0.530377,181,693,610353.828129,210457.99497,0.161555
181,714,610304.819711,210441.810342,0.572014,181,704,610352.935973,210486.585795,0.530377
181,724,610256.439725,210475.887225,0.222261,181,714,610304.819711,210441.810342,0.572014
181,734,610246.252336,210504.39414,0.093808,181,724,610256.439725,210475.887225,0.222261
181,745,610240.780579,210518.197161,0.150333,181,734,610246.252336,210504.39414,0.093808
181,755,610253.090746,210520.052807,0.092736,181,745,610240.780579,210518.197161,0.150333
181,765,610356.132218,210481.940179,0.417612,181,755,610253.090746,210520.052807,0.092736
181,775,610347.966135,210486.118968,0.238328,181,765,610356.132218,210481.940179,0.417612
181,787,610336.628571,210414.673199,0.221133,181,775,610347.966135,210486.118968,0.238328
181,797,610337.041518,210414.768012,0.028284,181,787,610336.628571,210414.673199,0.221133
181,807,610341.326409,210415.681136,0.080623,181,797,610337.041518,210414.768012,0.028284
181,818,610349.036799,210413.473324,0.034641,181,807,610341.326409,210415.681136,0.080623
181,828,610350.357815,210413.16581,0,181,818,610349.036799,210413.473324,0.034641
181,838,610344.930618,210456.703845,0.096954,181,828,610350.357815,210413.16581,0
181,848,610345.793361,210454.316541,0.221133,181,838,610344.930618,210456.703845,0.096954
181,859,610347.286649,210457.340519,0.024495,181,848,610345.793361,210454.316541,0.221133
181,870,610346.428743,210454.395485,0.05099,181,859,610347.286649,210457.340519,0.024495
181,880,610354.317016,210443.546336,0.318748,181,870,610346.428743,210454.395485,0.05099
181,890,610360.449451,210439.650221,0.605475,181,880,610354.317016,210443.546336,0.318748
181,900,610364.83153,210436.471688,0.214009,181,890,610360.449451,210439.650221,0.605475
181,911,610362.663778,210438.62844,0.017321,181,900,610364.83153,210436.471688,0.214009
181,921,610352.87427,210441.039726,0.336601,181,911,610362.663778,210438.62844,0.017321
181,931,610362.755937,210462.851647,0.154272,181,921,610352.87427,210441.039726,0.336601
181,942,610368.940636,210468.244853,0.046904,181,931,610362.755937,210462.851647,0.154272
181,962,610363.608833,210465.3651,0.083066,181,942,610368.940636,210468.244853,0.046904
181,973,610359.7511,210460.980756,0.178326,181,962,610363.608833,210465.3651,0.083066
181,983,610354.353541,210461.063389,0.02,181,973,610359.7511,210460.980756,0.178326
181,993,610352.164123,210461.354445,0.028284,181,983,610354.353541,210461.063389,0.02
181,1003,610363.914664,210458.156684,0.115326,181,993,610352.164123,210461.354445,0.028284
181,1014,610358.685295,210461.218914,0.03,181,1003,610363.914664,210458.156684,0.115326
181,1024,610351.079319,210460.915498,0.136015,181,1014,610358.685295,210461.218914,0.03
181,1034,610319.867876,210469.518972,0.080623,181,1024,610351.079319,210460.915498,0.136015
181,1046,610311.349301,210457.731466,0.106301,181,1034,610319.867876,210469.518972,0.080623
181,1056,610347.402057,210450.028044,0.014142,181,1046,610311.349301,210457.731466,0.106301
181,1066,610354.285776,210412.097585,0.488467,181,1056,610347.402057,210450.028044,0.014142
181,1076,610351.202809,210417.877355,?,181,1066,610354.285776,210412.097585,0.488467
181,1086,610353.902971,210419.393229,0.127279,181,1076,610351.202809,210417.877355,?
181,1097,610353.919016,210417.898944,0.182209,181,1086,610353.902971,210419.393229,0.127279
181,1107,610341.968348,210421.118856,0.01,181,1097,610353.919016,210417.898944,0.182209
181,1117,610307.128575,210443.178032,0.014142,181,1107,610341.968348,210421.118856,0.01
181,1127,610278.761104,210503.98295,0.024495,181,1117,610307.128575,210443.178032,0.014142
181,1138,610268.06738,210447.742218,0.117473,181,1127,610278.761104,210503.98295,0.024495
181,1148,610258.548226,210475.338116,0.053852,181,1138,610268.06738,210447.742218,0.117473
181,1158,610264.199996,210487.550841,0.07874,181,1148,610258.548226,210475.338116,0.053852
181,1169,610329.444,210465.987852,0.076811,181,1158,610264.199996,210487.550841,0.07874
181,1179,610351.484057,210451.68058,0.1772,181,1169,610329.444,210465.987852,0.076811
181,1189,610356.348091,210418.11644,0.076811,181,1179,610351.484057,210451.68058,0.1772
181,1199,610354.171756,210417.617112,0.014142,181,1189,610356.348091,210418.11644,0.076811
181,1210,610355.284662,210421.435723,0.094868,181,1199,610354.171756,210417.617112,0.014142
181,1220,610320.520716,210466.310671,0.444522,181,1210,610355.284662,210421.435723,0.094868
181,1230,610256.621315,210514.486785,0.582237,181,1220,610320.520716,210466.310671,0.444522
181,1241,610232.467309,210513.545809,0.064807,181,1230,610256.621315,210514.486785,0.582237
181,1251,610223.742927,210526.184762,0.125698,181,1241,610232.467309,210513.545809,0.064807
181,1261,610340.901829,210456.75729,0,181,1251,610223.742927,210526.184762,0.125698
181,1274,610337.747873,210474.623573,0.075498,181,1261,610340.901829,210456.75729,0
181,1285,610363.488651,210461.727542,0.022361,181,1274,610337.747873,210474.623573,0.075498
181,1295,610355.355861,210473.562329,0.036056,181,1285,610363.488651,210461.727542,0.022361
181,1306,610309.101121,210477.871666,0.078102,181,1295,610355.355861,210473.562329,0.036056
181,1317,610317.093536,210446.289571,0.36565,181,1306,610309.101121,210477.871666,0.078102
181,1327,610305.569024,210471.81673,0.410488,181,1317,610317.093536,210446.289571,0.36565
181,1337,610266.087081,210486.147669,0.300167,181,1327,610305.569024,210471.81673,0.410488
181,1347,610222.238258,210477.187816,0.11,181,1337,610266.087081,210486.147669,0.300167
181,1357,610330.810844,210445.672048,0.450444,181,1347,610222.238258,210477.187816,0.11
181,1367,610331.98077,210433.313826,0.114455,181,1357,610330.810844,210445.672048,0.450444
181,1377,610243.227183,210490.245004,0.259808,181,1367,610331.98077,210433.313826,0.114455
181,1388,610243.56204,210492.23993,0.057446,181,1377,610243.227183,210490.245004,0.259808
181,1398,610326.143312,210483.676597,1.236649,181,1388,610243.56204,210492.23993,0.057446
181,1409,610287.802542,210488.929983,0,181,1398,610326.143312,210483.676597,1.236649
