@relation gps_data_extended-weka.filters.unsupervised.attribute.Remove-V-R3-last-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute day numeric
@attribute min numeric
@attribute speed numeric
@attribute area numeric
@attribute movement_time numeric
@attribute movement_ratio numeric
@attribute distance numeric

@data

224,86,0.100995,58.155524,0.118215,0.716659,30.186455
195,609,0.028284,22.455145,6.513551,0.839064,15.525752
73,274,0.182757,13027.471894,4.271895,0.821121,629.504171
199,1238,0.153948,11299.564165,5.992215,0.842672,433.769062
192,962,0.104881,33.682145,9.401236,0.474661,19.806204
195,649,0.01,26.621844,2.468023,0.361437,20.485084
207,752,0.057446,3816.837962,1.225665,0.911686,243.33538
185,412,0.033166,91.829971,0.239507,0.414072,35.86194
185,604,0.206398,4.206676,4.088901,0.444325,9.202503
187,813,1.051951,25.710109,16.65209,0.993183,33.532778
201,737,0.01,2666.419976,1.377338,0.536331,161.788696
183,1168,0.132665,866.676146,0.498982,0.17941,175.217835
188,1180,0.295635,1853.211546,0.523582,0.141323,237.11091
185,1023,0.179722,3.456494,1.254367,0.188636,13.299313
214,661,0.386523,91495.357667,5.954104,0.925723,1183.459186
192,880,0.042426,3.172887,0.662919,0.153739,8.623949
186,1318,0,16.22774,0.029975,0.106246,18.056488
76,1364,0.024495,6.476476,0.016614,0.152144,13.540673
192,1136,0.096954,912.277807,0.166784,0.056417,180.332191
186,543,0.148661,7.086044,0.022481,0.058254,24.312261
68,964,0.128062,27563.770459,1.623816,0.553682,536.694617
184,599,0.156205,21.264171,6.379993,0.868414,14.693434
187,1372,0.086603,43.554624,0.9082,0.903404,62.329178
205,1323,0.024495,26292.610498,7.975067,0.950665,1518.396519
190,1025,0.064031,2434.125378,1.145865,0.36948,235.698419
207,408,0.583267,9288.406663,0.187379,0.051982,656.059127
183,1272,0.224722,2166.333177,0.687719,0.193799,255.501251
183,396,0.161555,513.851123,0.431293,0.257905,103.682349
183,322,0.243516,93.517935,1.107492,0.812483,84.511871
185,1049,0.08775,1260.763898,1.827214,0.56053,195.587937
192,1146,0.209284,28682.116188,14.51377,0.827462,1052.407165
63,888,1.102905,740004.473389,13.77012,0.749828,3360.680898
200,689,0.280535,38928.418353,8.359039,0.609146,837.076286
68,354,0.265707,275910.992946,7.752003,0.77844,1802.467931
186,1236,0.194165,5.319576,0.043661,0.253687,10.670594
205,479,0.09434,2093.96319,0.541269,0.392161,251.200384
186,584,0.49051,34.40346,0.040156,0.073007,34.101999
215,529,0.037417,96.521237,0.086713,0.344834,46.772393
213,590,0.095394,80215.294532,0.158167,0.016588,1725.848692
188,810,0.03,7.971427,3.302392,0.254086,12.997166
257,745,0.201246,42409.958735,2.67972,0.482423,1005.402621
82,1197,0.131529,253908.198846,4.983233,0.351154,2582.763847
186,1256,0.064807,15.783236,0.121803,0.437447,16.984854
191,946,0.10198,33.016346,6.434535,0.74536,17.265581
82,504,0.195448,49416.141391,3.232548,0.238805,1664.972237
195,1362,0.192094,5.641139,0.017019,0.094709,11.141494
186,126,0.182209,1057.780491,1.636404,0.60441,167.861198
187,798,0.273679,39.294614,15.63666,0.860903,18.16309
185,1034,0.086603,59.423029,6.874731,0.382412,35.954601
59,1199,0.014142,114779.453983,1.92488,0.733183,960.887312
219,408,0.041231,184035.865348,11.72181,0.961941,2437.115357
186,780,0.084853,50.456807,8.086944,0.76243,21.213612
182,648,0.221133,12.141447,13.71923,0.928005,14.783576
72,1306,0.255734,177.919736,0.116735,0.477058,44.779686
189,244,0.298998,2495.513341,2.005674,0.614589,199.069666
185,1126,0.037417,48.203018,0.165759,0.299349,34.885072
202,1270,0.075498,14.67918,0.032621,0.374851,15.838156
184,1209,0.098489,84.380722,0.072098,0.107263,55.117315
186,1004,0.169115,1.93576,1.559135,0.237532,13.127807
189,1397,0.042426,11.497105,0.020397,0.236437,15.701133
215,1290,0.017321,192.904659,0.268176,0.684799,71.273536
199,1283,0.022361,3388.758964,2.247599,0.746556,186.658755
187,1192,0.181934,78.370238,0.419973,0.429261,60.658464
206,37,0.059161,66.581244,0.090887,0.434183,38.097942
184,545,0.045826,669438.635971,53.02327,0.889849,3634.796705
194,557,0.01,2283.532534,0.230047,0.146532,227.641297
189,821,0.284605,4.046033,0.177564,0.029531,12.025691
191,875,0.070711,6.722665,4.116748,0.382065,10.775007
190,916,0.314006,1114.528303,0.688612,0.184667,160.344559
182,489,18.392808,476029.005698,58.79554,0.964929,3716.883696
200,392,0.070711,35.154418,0.380053,0.688079,33.692727
188,494,0.072801,359.942381,0.36608,0.440372,59.853393
