@relation gps_data_classes-weka.filters.unsupervised.attribute.Remove-V-R3-12

@attribute day numeric
@attribute min numeric
@attribute y numeric
@attribute x numeric
@attribute speed numeric
@attribute prevDay numeric
@attribute prevMin numeric
@attribute prevY numeric
@attribute prevX numeric
@attribute prevSpeed numeric

@data

186,997,610214.129951,210497.828171,0.05099,186,997,610211.725371,210497.803001,0.156525
186,997,610225.57178,210499.674055,0.11225,186,997,610214.129951,210497.828171,0.05099
187,1009,610317.729057,210498.104577,0.954673,187,1009,610326.09654,210494.016367,0.160312
187,1010,610315.126566,210496.375103,0.128452,187,1009,610316.193873,210499.138421,0.340881
187,1010,610317.443978,210495.604426,0.464435,187,1010,610315.126566,210496.375103,0.128452
187,1010,610313.863633,210499.763157,0.123693,187,1010,610317.443978,210495.604426,0.464435
187,1011,610317.68682,210495.42895,0.667683,187,1010,610318.325171,210498.635526,0.287228
187,1012,610316.675205,210500.328113,0.154272,187,1011,610313.822099,210501.935083,0.221133
187,1013,610313.952231,210503.553851,0.714843,187,1013,610321.270529,210499.218848,0.188149
187,1013,610300.841545,210505.60548,0.133791,187,1013,610304.029305,210504.061018,1.079861
187,1014,610305.298179,210501.184205,0.480521,187,1013,610300.841545,210505.60548,0.133791
187,1015,610295.187072,210506.567699,0.161555,187,1014,610294.908705,210504.645184,0.186011
187,1017,610287.817682,210505.551061,0.207123,187,1017,610294.294139,210502.527362,0.192614
187,1017,610291.961096,210504.825549,0.15843,187,1017,610287.817682,210505.551061,0.207123
187,1017,610294.8111,210503.909221,0.090554,187,1017,610291.961096,210504.825549,0.15843
187,1018,610292.307537,210502.072342,0.267769,187,1017,610294.8111,210503.909221,0.090554
187,1018,610294.776811,210501.917462,0.201494,187,1018,610292.307537,210502.072342,0.267769
187,1018,610302.510773,210496.953404,0.124499,187,1018,610294.776811,210501.917462,0.201494
187,1018,610293.38887,210502.212502,0.155242,187,1018,610302.510773,210496.953404,0.124499
187,1019,610289.965231,210497.829715,0.604649,187,1018,610293.38887,210502.212502,0.155242
187,1008,610334.535928,210488.453151,0.057446,187,1007,610338.634011,210485.742689,0.143527
188,791,610298.792581,210432.729713,0.684398,188,783,610323.152635,210438.954506,0.502593
188,794,610292.778558,210433.403838,0.221811,188,794,610292.808246,210433.084748,0.284781
188,794,610293.840768,210431.897385,0.076811,188,794,610292.298577,210434.246118,0.202731
188,795,610291.631733,210437.208895,0.319687,188,794,610293.840768,210431.897385,0.076811
188,795,610291.74768,210439.525092,0.404475,188,795,610291.631733,210437.208895,0.319687
188,796,610283.304766,210444.789484,0.074833,188,796,610284.942234,210442.977521,0.01
188,796,610279.810756,210443.926953,0.10198,188,796,610283.304766,210444.789484,0.074833
188,791,610299.472232,210427.993774,0.153297,188,791,610298.792581,210432.729713,0.684398
188,797,610278.854162,210443.984548,0.325423,188,796,610279.810756,210443.926953,0.10198
188,797,610274.736854,210445.041732,0.436463,188,797,610278.854162,210443.984548,0.325423
188,798,610272.025506,210445.438455,0.034641,188,797,610274.499616,210446.658141,0.042426
188,798,610269.654651,210447.358551,0.182483,188,798,610272.025506,210445.438455,0.034641
188,798,610270.056884,210449.40581,0.300167,188,798,610271.090744,210450.250433,0.184932
188,800,610252.343671,210451.949048,0.174642,188,800,610258.037528,210449.585268,0.531977
188,800,610225.700791,210450.432369,0.257876,188,800,610224.205958,210453.982543,0.099499
188,801,610225.0268,210448.946059,0.165529,188,800,610225.700791,210450.432369,0.257876
188,804,610214.276861,210441.500604,0.35623,188,803,610213.868106,210443.683479,0.254951
188,804,610212.64394,210440.828942,0.211896,188,804,610214.276861,210441.500604,0.35623
188,804,610209.646312,210441.494617,0.292233,188,804,610212.64394,210440.828942,0.211896
188,805,610152.494412,210470.720111,11.902853,188,805,610204.824607,210439.405687,0.25318
188,805,609945.47512,210521.930415,12.111292,188,805,610152.494412,210470.720111,11.902853
188,805,609767.91505,210564.101978,10.675514,188,805,609945.47512,210521.930415,12.111292
188,793,610296.269981,210427.333703,0.220454,188,792,610297.684138,210429.296156,0.091104
188,793,610294.692182,210434.284727,0.150333,188,793,610295.961026,210428.525943,0.200499
189,768,610333.600976,210510.477175,0.082462,189,768,610333.196919,210510.189693,0.03
189,768,610333.565812,210510.324853,0.144914,189,768,610333.600976,210510.477175,0.082462
189,769,610333.128829,210510.077597,0.128841,189,769,610333.978761,210510.419658,0.123693
189,770,610333.765062,210510.22957,0.037417,189,769,610333.128829,210510.077597,0.128841
189,770,610334.414431,210510.554042,0.090554,189,770,610333.765062,210510.22957,0.037417
189,770,610334.293706,210510.701536,0.071414,189,770,610334.414431,210510.554042,0.090554
189,771,610332.565639,210509.506425,0.041231,189,770,610334.293706,210510.701536,0.071414
189,771,610334.254295,210510.184038,0.042426,189,771,610332.565639,210509.506425,0.041231
189,771,610335.829263,210510.657117,0.104403,189,771,610334.254295,210510.184038,0.042426
189,772,610345.963141,210521.588985,0.149666,189,772,610343.531589,210521.159076,0.384448
189,773,610336.377719,210515.704134,0.5002,189,773,610335.292494,210518.100683,0.71638
189,773,610329.956789,210509.144974,0.733417,189,773,610336.377719,210515.704134,0.5002
184,541,610254.850169,210487.566553,0.214009,184,539,610249.973478,210496.070063,0.288617
184,543,610251.094847,210477.629407,0.064031,184,543,610251.356244,210477.134966,0.479792
184,544,610248.077061,210473.686767,0.274955,184,543,610251.094847,210477.629407,0.064031
184,545,610245.90726,210467.044829,0.203224,184,544,610246.679396,210469.31358,0.214709
184,545,610248.040316,210467.6509,0.014142,184,545,610245.90726,210467.044829,0.203224
184,545,610247.469357,210469.284479,0.072801,184,545,610248.040316,210467.6509,0.014142
184,545,610246.39628,210469.854757,0.240208,184,545,610247.469357,210469.284479,0.072801
184,541,610253.974633,210484.063864,0.061644,184,541,610254.850169,210487.566553,0.214009
184,547,610245.022284,210468.476199,0.115758,184,546,610244.43005,210467.320977,0.3245
184,547,610244.209853,210467.529394,0.044721,184,547,610245.022284,210468.476199,0.115758
184,541,610255.049759,210485.585341,0.140712,184,541,610253.974633,210484.063864,0.061644
184,549,610238.148966,210466.085761,0.780449,184,548,610239.374652,210467.153938,0.028284
184,549,610237.431317,210467.548392,0.083666,184,549,610237.381013,210467.050931,0.100995
184,542,610254.738013,210483.663197,0.305287,184,541,610255.049759,210485.585341,0.140712
184,552,610233.371551,210470.683447,0.171172,184,552,610235.002529,210472.145349,0.180278
